Male Names,Mcount,Female Names,Fcount,Last Names,Lcount
JAMES,10835570,MARY,8585507,SMITH,2442977
JOHN,10682082,PATRICIA,3504089,JOHNSON,1932812
ROBERT,10264073,LINDA,3379992,WILLIAMS,1625252
MICHAEL,8585507,BARBARA,3200379,BROWN,1437026
WILLIAM,8004214,ELIZABETH,3059954,JONES,1425470
DAVID,7716833,JENNIFER,3043626,GARCIA,1166120
RICHARD,5561475,MARIA,2703994,MILLER,1161437
CHARLES,4973651,SUSAN,2592960,DAVIS,1116357
JOSEPH,4585033,MARGARET,2508052,RODRIGUEZ,1094924
THOMAS,4506656,DOROTHY,2374159,MARTINEZ,1060159
CHRISTOPHER,3379992,LISA,2299048,HERNANDEZ,1043281
DANIEL,3180785,NANCY,2184749,LOPEZ,874523
PAUL,3095877,KAREN,2178217,GONZALEZ,841025
MARK,3063220,BETTY,2174952,WILSON,801882
DONALD,3040360,HELEN,2165155,ANDERSON,784404
GEORGE,3027297,SANDRA,2054121,THOMAS,756142
KENNETH,2697462,DONNA,1903899,TAYLOR,751209
STEVEN,2547241,CAROL,1845117,MOORE,724374
EDWARD,2543975,RUTH,1835320,JACKSON,708099
BRIAN,2403550,SHARON,1704692,MARTIN,702625
RONALD,2367627,MICHELLE,1694895,LEE,693023
ANTHONY,2354565,LAURA,1665503,PEREZ,681645
KEVIN,2191280,SARAH,1658972,THOMPSON,664644
JASON,2155357,KIMBERLY,1645909,WHITE,660491
MATTHEW,2145560,DEBORAH,1613252,HARRIS,624252
GARY,2122701,JESSICA,1600190,SANCHEZ,612752
TIMOTHY,2090044,SHIRLEY,1574064,CLARK,562679
JOSE,2001870,CYNTHIA,1531610,RAMIREZ,557423
LARRY,1952884,ANGELA,1528344,LEWIS,531781
JEFFREY,1930025,MELISSA,1508750,ROBINSON,529821
FRANK,1897368,BRENDA,1485890,WALKER,523129
SCOTT,1783068,AMY,1472828,YOUNG,484447
ERIC,1776537,ANNA,1436905,ALLEN,482607
STEPHEN,1763474,REBECCA,1404248,KING,465422
ANDREW,1753677,VIRGINIA,1404248,WRIGHT,458980
RAYMOND,1593658,KATHLEEN,1384654,SCOTT,439530
GREGORY,1440171,PAMELA,1358528,TORRES,437813
JOSHUA,1420576,MARTHA,1345466,NGUYEN,437645
JERRY,1410779,DEBRA,1332403,HILL,434827
DENNIS,1355263,AMANDA,1319340,FLORES,433969
WALTER,1303012,STEPHANIE,1306277,GREEN,430182
PATRICK,1270355,CAROLYN,1257292,ADAMS,427865
PETER,1244229,CHRISTINE,1247495,NELSON,424958
HAROLD,1211572,MARIE,1237698,BAKER,419586
DOUGLAS,1198509,JANET,1237698,HALL,407076
HENRY,1191978,CATHERINE,1218104,RIVERA,391114
CARL,1129930,FRANCES,1208306,CAMPBELL,386157
ARTHUR,1094007,ANN,1188712,MITCHELL,384486
RYAN,1071147,JOYCE,1188712,CARTER,376966
ROGER,1051553,DIANE,1172384,ROBERTS,376774
JOE,1048287,ALICE,1165852,GOMEZ,365655
JUAN,1031959,JULIE,1136461,PHILLIPS,360802
JACK,1028693,HEATHER,1100539,EVANS,355593
ALBERT,1025428,TERESA,1097273,TURNER,348627
JONATHAN,1022162,DORIS,1094007,DIAZ,347636
JUSTIN,1015631,GLORIA,1094007,PARKER,336221
TERRY,1015631,EVELYN,1051553,CRUZ,334201
GERALD,1009099,JEAN,1028693,EDWARDS,332423
KEITH,1005833,CHERYL,1028693,COLLINS,329770
SAMUEL,999302,MILDRED,1022162,REYES,327904
WILLIE,986239,KATHERINE,1022162,STEWART,324957
RALPH,920925,JOAN,999302,MORRIS,318884
LAWRENCE,920925,ASHLEY,989505,MORALES,311777
NICHOLAS,898066,JUDITH,969911,MURPHY,308417
ROY,891534,ROSE,966645,COOK,302589
BENJAMIN,881737,JANICE,930723,ROGERS,302261
BRUCE,858877,KELLY,924191,GUTIERREZ,293218
BRANDON,849080,NICOLE,917660,ORTIZ,286899
ADAM,845815,JUDY,901331,MORGAN,286280
HARRY,819689,CHRISTINA,898066,COOPER,280791
FRED,819689,KATHY,888269,PETERSON,278297
WAYNE,813158,THERESA,885003,BAILEY,277845
BILLY,809892,BEVERLY,871940,REED,277030
STEVE,803360,DENISE,862143,KELLY,267394
LOUIS,793563,TAMMY,845815,HOWARD,264826
JEREMY,790298,IRENE,822955,RAMOS,263464
AARON,783766,JANE,816423,KIM,262352
RANDY,757641,LORI,809892,COX,261231
HOWARD,751109,RACHEL,790298,WARD,260464
EUGENE,751109,MARILYN,787032,RICHARDSON,259798
CARLOS,747844,ANDREA,770704,WATSON,252579
RUSSELL,731515,KATHRYN,764172,BROOKS,251663
BOBBY,728250,LOUISE,747844,CHAVEZ,250898
VICTOR,724984,SARA,747844,WOOD,250715
MARTIN,705390,ANNE,744578,JAMES,249379
ERNEST,702124,JACQUELINE,744578,BENNETT,247599
PHILLIP,695593,WANDA,738047,GRAY,246116
TODD,695593,BONNIE,728250,MENDOZA,242771
JESSE,682530,JULIA,728250,RUIZ,238234
CRAIG,672733,RUBY,721718,HUGHES,236271
ALAN,666201,LOIS,718452,PRICE,235251
SHAWN,653139,TINA,718452,ALVAREZ,233983
CLARENCE,643342,PHYLLIS,715187,CASTILLO,230420
SEAN,643342,NORMA,711921,SANDERS,230374
PHILIP,643342,PAULA,708655,PATEL,229973
CHRIS,643342,DIANA,705390,MYERS,229895
JOHNNY,636810,ANNIE,705390,LONG,229374
EARL,630279,LILLIAN,689061,ROSS,229368
JIMMY,623747,EMILY,679264,FOSTER,227764
ANTONIO,620482,ROBIN,679264,JIMENEZ,227118
DANNY,620482,PEGGY,679264,POWELL,224874
BRYAN,620482,CRYSTAL,675998,JENKINS,222653
TONY,620482,GLADYS,669467,PERRY,221741
LUIS,617216,RITA,666201,RUSSELL,221558
MIKE,617216,DAWN,659670,SULLIVAN,220990
STANLEY,607419,CONNIE,653139,BELL,220599
LEONARD,607419,FLORENCE,653139,COLEMAN,219070
NATHAN,604153,TRACY,643342,BUTLER,218847
DALE,600888,EDNA,643342,HENDERSON,218393
MANUEL,591090,TIFFANY,636810,BARNES,218241
RODNEY,587825,CARMEN,636810,GONZALES,214758
CURTIS,587825,ROSA,633544,FISHER,214703
NORMAN,578028,CINDY,627013,VASQUEZ,212781
ALLEN,568231,GRACE,617216,SIMMONS,210182
MARVIN,558434,WENDY,604153,ROMERO,208614
VINCENT,548636,VICTORIA,587825,JORDAN,208403
GLENN,545371,EDITH,584559,PATTERSON,205423
JEFFERY,542105,KIM,581293,ALEXANDER,204621
TRAVIS,542105,SHERRY,581293,HAMILTON,201746
JEFF,542105,SYLVIA,578028,GRAHAM,201159
CHAD,538839,JOSEPHINE,578028,REYNOLDS,200247
JACOB,538839,THELMA,571496,GRIFFIN,198406
LEE,529042,SHANNON,571496,WALLACE,197276
MELVIN,529042,SHEILA,571496,MORENO,196925
ALFRED,529042,ETHEL,568231,WEST,195818
KYLE,522511,ELLEN,564965,COLE,195289
FRANCIS,522511,ELAINE,564965,HAYES,194246
BRADLEY,519245,MARJORIE,564965,BRYANT,192773
JESUS,506182,CARRIE,558434,HERRERA,192711
HERBERT,506182,CHARLOTTE,551902,GIBSON,190667
FREDERICK,502917,MONICA,542105,ELLIS,188968
RAY,499651,ESTHER,542105,TRAN,188498
JOEL,496385,PAULINE,538839,MEDINA,188497
EDWIN,483323,EMMA,538839,AGUILAR,186512
DON,473525,JUANITA,535574,STEVENS,185674
EDDIE,470260,ANITA,529042,MURRAY,184910
RICKY,460463,RHONDA,529042,FORD,184832
TROY,450666,HAZEL,525777,CASTRO,184134
RANDALL,450666,AMBER,522511,MARSHALL,183922
BARRY,437603,EVA,519245,OWENS,182719
ALEXANDER,431071,DEBBIE,512714,HARRISON,181091
BERNARD,414743,APRIL,502917,FERNANDEZ,180842
MARIO,408212,LESLIE,502917,MCDONALD,180497
LEROY,408212,CLARA,499651,WOODS,177425
FRANCISCO,404946,LUCILLE,499651,WASHINGTON,177386
MARCUS,404946,JAMIE,499651,KENNEDY,176865
MICHEAL,401680,JOANNE,489854,WELLS,176230
THEODORE,401680,ELEANOR,489854,VARGAS,173835
CLIFFORD,401680,VALERIE,486588,HENRY,170964
MIGUEL,398415,DANIELLE,486588,CHEN,169580
OSCAR,398415,MEGAN,480057,FREEMAN,169149
JAY,385352,ALICIA,476791,WEBB,168878
JIM,385352,SUZANNE,473525,TUCKER,167446
TOM,382086,MICHELE,473525,GUZMAN,167044
CALVIN,375555,GAIL,473525,BURNS,165925
ALEX,375555,BERTHA,466994,CRAWFORD,164457
JON,375555,DARLENE,463728,OLSON,164035
RONNIE,369023,VERONICA,463728,SIMPSON,163181
BILL,365758,JILL,463728,PORTER,163054
LLOYD,365758,ERIN,460463,HUNTER,162440
TOMMY,365758,GERALDINE,460463,GORDON,161833
LEON,365758,LAUREN,447400,MENDEZ,161717
DEREK,365758,CATHY,447400,SILVA,161633
WARREN,359226,JOANN,444134,SHAW,160400
DARRELL,352695,LORRAINE,440869,SNYDER,160262
JEROME,352695,LYNN,440869,MASON,160213
FLOYD,349429,SALLY,440869,DIXON,159480
LEO,346163,REGINA,434337,MUNOZ,158483
ALVIN,342898,ERICA,424540,HUNT,158421
TIM,339632,BEATRICE,424540,HICKS,158320
WESLEY,339632,DOLORES,421274,HOLMES,156780
GORDON,339632,BERNICE,418009,PALMER,156601
DEAN,339632,AUDREY,414743,WAGNER,155795
GREG,339632,YVONNE,411477,BLACK,154738
JORGE,339632,ANNETTE,408212,ROBERTSON,153666
DUSTIN,336366,JUNE,408212,BOYD,153469
PEDRO,336366,SAMANTHA,404946,ROSE,153397
DERRICK,336366,MARION,398415,STONE,153329
DAN,329835,DANA,398415,SALAZAR,152703
LEWIS,323304,STACY,395149,FOX,152334
ZACHARY,323304,ANA,391883,WARREN,152147
COREY,320038,RENEE,391883,MILLS,151942
HERMAN,316772,IDA,385352,MEYER,150895
MAURICE,316772,VIVIAN,385352,RICE,149500
VERNON,316772,ROBERTA,382086,SCHMIDT,147034
ROBERTO,316772,HOLLY,382086,GARZA,147005
CLYDE,310241,BRITTANY,382086,DANIELS,146570
GLEN,306975,MELANIE,378820,FERGUSON,146426
HECTOR,306975,LORETTA,375555,NICHOLS,145584
SHANE,303709,YOLANDA,375555,STEPHENS,144646
RICARDO,303709,JEANETTE,375555,SOTO,144451
SAM,300444,LAURIE,372289,WEAVER,143837
RICK,297178,KATIE,369023,RYAN,143452
LESTER,297178,KRISTEN,362492,GARDNER,142894
BRENT,293912,VANESSA,362492,PAYNE,142601
RAMON,293912,ALMA,362492,GRANT,142277
CHARLIE,293912,SUE,362492,DUNN,141427
TYLER,290647,ELSIE,359226,KELLEY,140693
GILBERT,290647,BETH,359226,SPENCER,139951
GENE,284115,JEANNE,355961,HAWKINS,139751
MARC,284115,VICKI,355961,ARNOLD,138893
REGINALD,274318,CARLA,349429,PIERCE,138629
RUBEN,267787,TARA,349429,VAZQUEZ,138322
BRETT,267787,ROSEMARY,349429,HANSEN,137977
ANGEL,267787,EILEEN,342898,PETERS,137513
NATHANIEL,264521,TERRI,342898,SANTOS,137232
RAFAEL,264521,GERTRUDE,336366,HART,137184
LESLIE,264521,LUCY,336366,BRADLEY,136720
EDGAR,261255,TONYA,333101,KNIGHT,136713
MILTON,261255,ELLA,329835,ELLIOTT,135765
RAUL,257990,STACEY,329835,CUNNINGHAM,135718
BEN,254724,WILMA,323304,DUNCAN,135187
CHESTER,254724,GINA,323304,ARMSTRONG,135044
CECIL,254724,KRISTIN,323304,HUDSON,134963
DUANE,251458,JESSIE,320038,CARROLL,134317
FRANKLIN,251458,NATALIE,320038,LANE,134227
ANDRE,248193,AGNES,320038,RILEY,133872
ELMER,241661,VERA,320038,ANDREWS,133799
BRAD,238396,WILLIE,316772,ALVARADO,133501
GABRIEL,238396,CHARLENE,316772,RAY,133171
RON,235130,BESSIE,313507,DELGADO,132985
MITCHELL,235130,DELORES,310241,BERRY,132812
ROLAND,235130,MELINDA,306975,PERKINS,131440
ARNOLD,235130,PEARL,306975,HOFFMAN,131401
HARVEY,235130,ARLENE,306975,JOHNSTON,131373
JARED,231864,MAUREEN,300444,MATTHEWS,131303
ADRIAN,225333,COLLEEN,300444,PENA,130776
KARL,225333,ALLISON,300444,RICHARDS,130529
CORY,222067,TAMARA,300444,CONTRERAS,130164
CLAUDE,222067,JOY,297178,WILLIS,130152
ERIK,222067,GEORGIA,297178,CARPENTER,129898
DARRYL,218801,CONSTANCE,297178,LAWRENCE,129699
JAMIE,215536,LILLIE,293912,SANDOVAL,128948
NEIL,215536,CLAUDIA,293912,GUERRERO,128677
JESSIE,212270,JACKIE,293912,GEORGE,128625
CHRISTIAN,212270,MARCIA,293912,CHAPMAN,127939
JAVIER,212270,TANYA,290647,RIOS,127794
FERNANDO,212270,NELLIE,290647,ESTRADA,127470
CLINTON,212270,MINNIE,290647,ORTEGA,127256
TED,209004,MARLENE,287381,WATKINS,127083
MATHEW,209004,HEIDI,287381,GREENE,126101
TYRONE,209004,GLENDA,287381,NUNEZ,125350
DARREN,209004,LYDIA,280850,WHEELER,125058
LONNIE,209004,VIOLA,280850,VALDEZ,124995
LANCE,205739,COURTNEY,280850,HARPER,124461
CODY,205739,MARIAN,280850,BURKE,122877
JULIO,205739,STELLA,277584,LARSON,122587
KELLY,205739,CAROLINE,277584,SANTIAGO,122212
KURT,202473,DORA,274318,MALDONADO,121526
ALLAN,199207,JO,271053,MORRISON,121130
NELSON,199207,VICKIE,267787,FRANKLIN,120621
GUY,195942,MATTIE,264521,CARLSON,120552
CLAYTON,195942,TERRY,261255,AUSTIN,119706
HUGH,195942,MAXINE,257990,DOMINGUEZ,119304
MAX,192676,IRMA,257990,CARR,119076
DWAYNE,192676,MABEL,254724,LAWSON,119053
DWIGHT,189410,MARSHA,254724,JACOBS,118614
ARMANDO,189410,MYRTLE,254724,OBRIEN,118557
FELIX,189410,LENA,251458,LYNCH,117708
JIMMIE,189410,CHRISTY,251458,SINGH,116749
EVERETT,186145,DEANNA,248193,VEGA,116673
JORDAN,182879,PATSY,248193,BISHOP,116618
IAN,182879,HILDA,244927,MONTGOMERY,115953
WALLACE,182879,GWENDOLYN,241661,OLIVER,115900
KEN,179613,JENNIE,238396,JENSEN,115679
BOB,179613,NORA,238396,HARVEY,115662
JAIME,179613,MARGIE,235130,WILLIAMSON,114959
CASEY,176347,NINA,235130,GILBERT,114940
ALFREDO,176347,CASSANDRA,235130,DEAN,114030
ALBERTO,173082,LEAH,235130,SIMS,113374
DAVE,173082,PENNY,231864,ESPINOZA,112154
IVAN,173082,KAY,231864,HOWELL,112041
JOHNNIE,169816,PRISCILLA,231864,LI,111786
SIDNEY,169816,NAOMI,231864,WONG,111371
BYRON,169816,CAROLE,231864,REID,111360
JULIAN,169816,BRANDY,228599,HANSON,111144
ISAAC,166550,OLGA,228599,LE,110967
MORRIS,166550,BILLIE,225333,MCCOY,110744
CLIFTON,163285,DIANNE,225333,GARRETT,110697
WILLARD,163285,TRACEY,225333,BURTON,110529
DARYL,163285,LEONA,225333,FULLER,110116
ROSS,163285,JENNY,222067,WANG,109883
VIRGIL,160019,FELICIA,222067,WEBER,109433
ANDY,160019,SONIA,222067,WELCH,108987
MARSHALL,160019,MIRIAM,215536,ROJAS,108421
SALVADOR,160019,VELMA,215536,LUCAS,107690
PERRY,160019,BECKY,215536,MARQUEZ,107533
KIRK,160019,BOBBIE,212270,FIELDS,107522
SERGIO,160019,VIOLET,212270,PARK,106696
MARION,156753,KRISTINA,212270,YANG,106033
TRACY,156753,TONI,209004,LITTLE,105936
SETH,156753,MISTY,205739,BANKS,105833
KENT,156753,MAE,205739,PADILLA,105365
TERRANCE,156753,SHELLY,202473,DAY,105091
RENE,156753,DAISY,202473,WALSH,105079
EDUARDO,153488,RAMONA,202473,BOWMAN,105007
TERRENCE,153488,SHERRI,202473,SCHULTZ,104888
ENRIQUE,150222,ERIKA,199207,LUNA,104518
FREDDIE,150222,KATRINA,199207,FOWLER,104515
WADE,146956,CLAIRE,199207,MEJIA,104057
AUSTIN,143690,LINDSEY,195942,DAVIDSON,103930
STUART,143690,LINDSAY,195942,ACOSTA,103418
FREDRICK,140425,GENEVA,192676,BREWER,103318
ARTURO,140425,GUADALUPE,192676,MAY,103306
ALEJANDRO,140425,BELINDA,192676,HOLLAND,102538
JACKIE,140425,MARGARITA,192676,JUAREZ,101949
JOEY,140425,SHERYL,192676,NEWMAN,101931
NICK,140425,CORA,189410,PEARSON,101836
LUTHER,140425,FAYE,189410,CURTIS,101801
WENDELL,137159,ADA,186145,CORTEZ,101694
JEREMIAH,137159,NATASHA,186145,DOUGLAS,101458
EVAN,137159,SABRINA,186145,SCHNEIDER,101290
JULIUS,137159,ISABEL,186145,JOSEPH,100959
DANA,137159,MARGUERITE,182879,BARRETT,100104
DONNIE,133893,HATTIE,182879,NAVARRO,99807
OTIS,133893,HARRIET,182879,FIGUEROA,98468
SHANNON,130628,MOLLY,179613,KELLER,98268
